Entity Name,Attribute Name,Description and Unit,Temp Name,Unit,Enum Entries,Data Type,Priority
,Laundry Type,Type of laundry system.,LaundryTypeEnum,,Washer - Uncategorized; Washer - Residential; Washer - Commercial; Dryer - Uncategorized; Dryer - Residential; Dryer - Commercial; All-in-One Combination Washer Dryer; Unitized/Stacked Washer & Dryer Pair; Onsite Laundry Facility; Other; Unknown,ENUM,2
,Fuel,Type of fuel consumed.,FuelEnum,,Electricity; Electricity (Renewable); Natural Gas; Natural Gas (Renewable); Fuel Oil; Fuel Oil No.1; Fuel Oil No.2; Fuel Oil No.4; Fuel Oil No.5 and No.6; District Steam; District hot water; District chilled water ; Solar hot water; Bottled gas (LPG or propane); Propane; Liquid Propane; Kerosene; Diesel; Coal; Coal (anthracite); Coal (bituminous); Coke; Wood; Other Or Combination,ENUM,1
,Year Of Manufacture,Year system was manufactured.,YearOfManufacture,,,int,1
,ENERGYSTAR,True if equipment is Energy Star rated.,ENERGYSTAR,,,boolean,2
,Quantity,Number of systems of this type.,Quantity,,,int,2
Conveyance,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
,Conveyance System Type,"Type of vertical or horizontal transportation equipment that moves people or goods between levels, floors, or sections.",ConveyanceSystemTypeEnum,,Escalator; Elevator; Moving Walkway; Other Or Combination; Unknown,ENUM,2
,Quantity,Number of systems of this type.,Quantity,,,int,2
,Control Type,Type of system operation control.,ControlTypeEnum,,Programmable Thermostat; Manual thermostat; Manual Analog Thermostat; Manual Digital Thermostat; Digital Thermostat; On/Off; Timer; Electro-Mechanical; Digital; EMCS; Always On; Other Or Combination; Unknown,ENUM,2
OnSiteGeneration,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
,On-Site Generation Type,Type of on-site energy generation system.,OnSiteGenerationTypeEnum,,PV; Fuel Cell; Microturbine; Turbine; Cogeneration; Plasma Gasification; Generator - General; Solar Thermal; Geothermal; Biomass; Hydrothermal; Wind; Reciprocating Engine; Other Or Combination; Unknown,ENUM,2
,Fuel Generated,Type of fuel consumed.,FuelEnum,,Electricity; Electricity (Renewable); Natural Gas; Natural Gas (Renewable); Fuel Oil; Fuel Oil No.1; Fuel Oil No.2; Fuel Oil No.4; Fuel Oil No.5 and No.6; District Steam; District hot water; District chilled water ; Solar hot water; Bottled gas (LPG or propane); Propane; Liquid Propane; Kerosene; Diesel; Coal; Coal (anthracite); Coal (bituminous); Coke; Wood; Other Or Combination,ENUM,1
,Quantity,Number of systems of this type.,Quantity,,,int,2
,Capacity,System capacity.,Capacity,,,double,2
,Capacity Unit,Measurement unit for the capacity of the system., CapacityUnitEnum,,Btu; kBtu; kBtu/hour; kW; tons; gallons,ENUM,2
,Annual Operation Hours,Hours in operation per year. [hours/year],AnnualOperationHours,,,double,3
,Year Of Manufacture,Year system was manufactured.,YearOfManufacture,,,int,3
,Used for Demand Response,"True if the equipment is used to participate in demand response, false otherwise.",UsedForDemandResponse,,,boolean,3
EnergyStorage,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
,Energy Storage Type,Type of equipment that has the ability to hold energy for later retrieval.,EnergyStorageTypeEnum,,Battery; Ice Storage; Chilled Water Storage; Other Or Combination; Unknown,ENUM,2
,Quantity,Number of systems of this type.,Quantity,,,int,2
,Capacity,System capacity.,Capacity,,,double,2
,Capacity Unit,Measurement unit for the capacity of the system., CapacityUnitEnum,,Btu; kBtu; kBtu/hour; kW; tons; gallons,ENUM,2
,Location,Location of equipment or component.,LocationWithinBuildingEnum,,Indoors; Conditioned Space; Unconditioned Space;  Outdoors; Closet; Garage; Attic; Basement or Crawlspace; Below Ground; Ground Level; Above Ground; Other; Unknown,ENUM,3
,Percent Of Total Installed Capacity,Percent this system is of total installed capacity. [%],PercentOfTotalInstalledCapacity,,,double,2
,Percent Of Floor Area Served,The percentage of a facility�s square footage served by system. [%],PercentOfFloorAreaServed,,,double,2
,Year Of Manufacture,Year system was manufactured.,YearOfManufacture,,,int,3
,Fuel,Type of fuel stored.,FuelEnum,,Electricity; Electricity (Renewable); Natural Gas; Natural Gas (Renewable); Fuel Oil; Fuel Oil No.1; Fuel Oil No.2; Fuel Oil No.4; Fuel Oil No.5 and No.6; District Steam; District hot water; District chilled water ; Solar hot water; Bottled gas (LPG or propane); Propane; Liquid Propane; Kerosene; Diesel; Coal; Coal (anthracite); Coal (bituminous); Coke; Wood; Other Or Combination,ENUM,3
Pool,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
,Pool Type,Type of pool or spa.,PoolTypeEnum,,Hot Tub or Spa; Pool - Uncategorized; Pool - Olympic; Pool - Recreational; Pool - Short Course; Other Or Combination; Unknown,ENUM,2
,Quantity,Number of systems of this type.,Quantity,,,int,2
,Heated,"True if fuel is used to heat the pool. False, otherwise.",Heated,,,boolean,2
,Fuel,Type of fuel consumed.,FuelEnum,,Electricity; Electricity (Renewable); Natural Gas; Natural Gas (Renewable); Fuel Oil; Fuel Oil No.1; Fuel Oil No.2; Fuel Oil No.4; Fuel Oil No.5 and No.6; District Steam; District hot water; District chilled water ; Solar hot water; Bottled gas (LPG or propane); Propane; Liquid Propane; Kerosene; Diesel; Coal; Coal (anthracite); Coal (bituminous); Coke; Wood; Other Or Combination,ENUM,1
,Pool Volume,Volume of the pool. [gallons],PoolVolume,,,double,2
,Number Of Pool Pumps,Number of pool pumps used for the pool.,NumberOfPoolPumps,,,int,2
,Control Type,Type of system operation control.,ControlTypeEnum,,Programmable Thermostat; Manual thermostat; Manual Analog Thermostat; Manual Digital Thermostat; Digital Thermostat; On/Off; Timer; Electro-Mechanical; Digital; EMCS; Always On; Other Or Combination; Unknown,ENUM,2
,Indoor,True if the pool asset is indoors. False otherwise.,Indoor,,,boolean,3
,Pool Area,Surface area of pool. [square feet],PoolArea,,,double,3
Measures,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
,Measure List,"Energy efficiency measures, or other changes that affect the energy use of this facility. Measures may be multi-selected to indicate 'packages' of measures.",MeasureListEnum,,Commissioning or Retro-commissioning; Cleaning and/or Repair - Uncategorized; Training and/or Documentation - Uncategorized; Operating Protocols or Calibration and/or Sequencing - Uncategorized; Envelope - Uncategorized; Envelope - Replace Glazing; Envelope - Increase Wall Insulation; Envelope - Increase Ceiling Insulation; Envelope - Increase Roof Insulation; Envelope - Increase Floor Insulation; Envelope - Cool or Green Roof Installed; Envelope - Add Window Films; Envelope - Add Shading Devices; Envelope - Cleaning and/or Repair; Envelope - Air Sealing (changed from weather-stripping); Envelope - Insulation or Replacement of Solar Screens; Envelope - Insulate Attic Hatch Or Stair Box; Envelope - Add Attic/Knee Wall Insulation; Envelope - Insulate Thermal Bypass; Envelope - Insulate Foundation; HVAC - System - Uncategorized; HVAC - System - Operating Protocols Calibration and/or Sequencing; HVAC - System - Cleaning and/or Repair ; HVAC - System - Training and/or Documentation; HVAC  - Heating - Uncategorized; HVAC - Heating - Replace Boiler or Furnace; HVAC - Heating - Replace Burner; HVAC - Heating - Replace Packaged Terminal Units; HVAC - Heating - Add Heat Recovery; HVAC - Heating - Convert Gas-Fired Unit to Boiler Loop; HVAC - Heating - Boiler Room Insulation; HVAC - Heating - Operating Protocols or Calibration and/or Sequencing; HVAC - Heating - Cleaning and Repair; HVAC - Ventilation - Uncategorized; HVAC - Ventilation - Duct Sealing; HVAC - Ventilation - Duct Insulation; HVAC - Ventilation - Balancing; HVAC - Ventilation -  Operating Protocols Calibration and/or Sequencing ; HVAC - Ventilation - Upgrade Fans; HVAC - Ventilation - Cleaning and Repair; HVAC - Cooling -Uncategorized; HVAC - Cooling - Replace Chiller; HVAC - Cooling - Replace Package Units; HVAC - Cooling -  Operating Protocols or Calibration and/or Sequencing ; HVAC - Cooling - Economizer Cycle; HVAC - Cooling - Heat Recovery; HVAC - Cooling - Add or replace Cooling Tower; HVAC - Cooling - Install VSD on Electric Centrifugal Chillers; HVAC - Distribution - Uncategorized; HVAC - Distribution - Add Pipe Insulation; HVAC - Distribution -  Add Duct Insulation; HVAC - Distribution - Balancing; HVAC - Distribution - Operating Protocols Calibration and/or Sequencing; HVAC - Distribution - Replace or Modify AHU; HVAC - Distribution - Repair Leaks Or Seal Ducts; HVAC - Distribution - Improve Fans or Pumps; HVAC - Distribution - Convert System from Steam to hot Water; HVAC - Distribution - Convert CV System to VAV System; HVAC - Controls - Uncategorized; HVAC - Controls - Add or Upgrade BAS/EMS/EMCS; HVAC - Controls - Add or Upgrade Controls; HVAC - Controls - Pneumatic to DDC Convert; Domestic Hot Water - Uncategorized; Domestic Hot Water - Replace or Upgrade Heater; Domestic Hot Water - Heat Recovery; Domestic Hot Water - Add Pipe Insulation; Domestic Hot Water - Install Low-Flow Fixtures; Domestic Hot Water - Add Recirculating Pumps; Domestic Hot Water - Separate DHW from Heating; Domestic Hot Water - Solar Hot Water; Domestic Hot Water - Operating Protocols Calibration and/or Sequencing; Motors - Uncategorized; Motors - Replace with higher efficiency; Motors - Replace with VSD; Motors - Add Drive Controls; Lighting - Uncategorized; Lighting - Retrofit/Replace; Lighting - Cleaning and/or Repair; Lighting - Operation Protocols or Calibration and/or Sequencing; Lighting - Retrofit with T-8; Lighting - Retrofit with T-5; Lighting - Retrofit with CFLs; Lighting - Add occupancy sensors; Lighting - Add daylight dimming; Data Center - Uncategorized; Process/Plug Equipment - Uncategorized; Process/Plug Equipment - Replace with Energy Star Rated; Process/Plug Equipment - Operating Protocols Calibration and/or Sequencing; Process/Plug Equipment - Cleaning and/or Repair; On-Site Generation - Uncategorized; Fuel Conversion; Addition or Annex; Other; Unknown,ENUM,1
,Early Compliance,True if the audit was performed early in the compliance process.,EarlyCompliance,,,boolean,4
,Scope,Percentage of the building floor space affected. [%],Scope,,,double,1
,Description,Description of measure.,Description,,,string,2
,Start Date,Date the implementation began.,StartDate,,,date,1
,End Date,Date the implementation was completed.,EndDate,,,date,1
,Life,Life expectancy of measure. [years],Life,,,int,2
,First Cost,"The sum of the initial expenditures to implement the measure; includes items such as equipment, transportation, installation, preparation for service, as well as other related costs. [US $]",FirstCost,,,double,1
,O&M Cost,Operation and maintenance cost per year relating to the measure. [US $ /year],OAndMCost,,,double,2
,Funding From Rebates,Amount of funding gained from rebates. [US $],FundingFromRebates,,,double,2
,Funding From Tax Credits,Amount of funding gained from tax credits. [US $],FundingFromTaxCredits,,,double,2
,Lot Configuration,"If there are more than one building on the lot, identify the retro-commissioning efforts.",LotConfigurationEnum,,Entire lot audited and retro-commissioned together as one; Each building audited and retro-commissioned individually; Unknown,ENUM,3
,Simple Payback,The length of time required for an investment to pay for itself. [year],SimplePayback,,,double,3
,Cost Effectiveness Screening Method,Method for cost effective screening of measure.,CostEffectivenessScreeningMethodEnum,,Simple Payback; NPV; Other Or Combination; Unknown,ENUM,3
,O&M Cost Annual Savings,Operation and maintenance annual cost savings. [US $ /year],OAndMCostAnnualSavings,,,double,3
,Total Job Hours,Total hours billed to the measure.,TotalJobHours,,,double,3
,Annual Savings Estimate (Cost),Estimate of cost savings per year. [US $ /year],AnnualSavingsEstimateCost,,,double,3
,Annual Savings Estimate (Energy),Estimate of energy savings per year. [Btu / year],AnnualSavingsEstimateEnergy,,,double,3
,Annual Savings (Cost),Cost savings per year. [US $ /year],AnnualSavingsCost,,,double,3
,Annual Savings (Energy),Energy savings per year. [Btu / year],AnnualSavingsEnergy,,,double,3
,Annual Savings (Total Energy),Total energy savings per year resulting from this measure package. [Btu / year],AnnualSavingsTotalEnergy,,,double,3
,Annual Savings (Electric),Electric savings per year resulting from this measure package. [kW/year],AnnualSavingsElectric,,,double,3
,Annual Savings (Non-electric),Non-electric fuel savings per year resulting from this measure package. [MMBtu],AnnualSavingsNonelectric,,,double,3
,Implementation Status,Implementation status of measure.,ImplementationStatusEnum,,Completed; In Progress; Selected; Recommended; Further Study Recommended; Not Recommended; Satisfactory Repair Not Achieved; Other; Unknown,ENUM,3
,Number Of Permits Replaced,Number of permits replaced as part of measure.,NumberOfPermitsReplaced,,,int,3
,Number Of Staff Members Trained,Number of staff members trained as part of measure.,NumberOfStaffMembersTrained,,,int,3
,Work Performed By,Entity who performed the work.,WorkPerformedByEnum,,Retro-Commissioning Team; Building Staff; Outside Contractor; Other Or Combination; Unknown,ENUM,3
,EER Submitted By,Name of the person who submitted the  Energy Efficiency Report (EER).,EERSubmittedby,,,string,4
,EER Submission Company,Name of company who submitted the Energy Efficiency Report (EER).,EERSubmissionCompany,,,string,4
,EER Submission E-Mail,E-mail associate with who submitted the Energy Efficiency Report (EER).,EERSubmissionEMail,,,string,4
,EER Submission Date,Date the Energy Efficiency Report (EER) was submitted. [Date],EERSubmissionDate,,,date,4
,Simple Building Audit Exemptions,If the building is a Simple Building as  defined by New York City local Law 87 and has met six or more of the seven items. (Allow multi-select),SimpleBuildingAuditExemptionsEnum,,Individual heating controls; Common area and exterior lighting; Low flow faucets and shower heads; Pipe insulation; Domestic hot water; Washing machines; Cool roof,ENUM,4
,LEED Certification Audit Exemption,"True if building has met all three of the following requirements, false otherwise: 1) Building has received certification under the Leadership in Energy and Environment Design (LEED) 2009 rating system within two years prior to filing this Energy Efficiency Report (EER); AND 2) Building has earned the LEED point for Existing Building Commissioning investigation and analysis; AND 3) Building has earned the LEED point for Existing Commissioning implementation.",LEEDCertificationAuditExemption,,,boolean,4
,Audit Date,Date Report was conducted or generated.,AuditDate,,,date,4
,Auditor Name,Name of auditor responsible for execution of Energy Efficiency Measure.,AuditorName,,,string,4
,Auditor Qualification,Qualification of auditor responsible for execution of Energy Efficiency Measure.,QualificationEnum,,PE; CEM; BPI-BA; DOB; RESNET-Home Partner; RA; Refrigerating System Operating Engineer; High Pressure Boiler Operating Engineer; Other; Unknown,ENUM,4
,Auditor Qualification Number,"Certificate number, license number, etc., of Auditor Qualification.",AuditorQualificationNumber,,,string,4
,Auditor Qualification State,"If Auditor Qualification 1 is state-issued, the state the qualification is from.",StateOfAuditorQualificationEnum,,AL; AK; AZ; AR; CA; CO; CT; DE; FL; GA; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MA; MI; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NY; NC; ND; OH; OK; OR; PA; RIL; SC; SD; TN; TX; UT; VT; VA; WA; WV; WI; WY,,4
,Auditor Team Member With Certification,"Name of auditor team member with certification specified in ""Audit Team Member Certification Type"".",AuditorTeamMemberwithCertification,,,,4
,Audit Team Member Certification Type,"Type of certification held by the team member specified in ""Audit Team Member with Certification"".",CertificationEnum,,NYSERDA Flex Tech; Certified Energy Manager (CEM); Certified Energy Auditor (CEA); High-Performance Building Design; Professional (HPBD); Multifamily Building Analyst (MFBA); Other; Unknown,ENUM,4
,Auditor Company,Company or organization the auditor represents.,AuditorCompany,,,string,4
,Auditor Company Address,Address of auditor.,AuditorCompanyAddress,,,string,4
,Auditor Company Phone Number,Phone number of auditor.,AuditorCompanyPhoneNumber,,,string,4
,Auditor E-Mail Address,E-mail of auditor.,AuditorEMailAddress,,,string,4
,Name Of Audit Certification Holder,Name of designated audit certification holder.,NameOfAuditCertificationHolder,,,string,4
,Central Plant Included In Audit,"True if there is a central plant and it is included in this audit, false otherwise.",CentralPlantIncludedInAudit,,,boolean,4
,Retro-commissioning Date,Date retro-commissioning was conducted.,RetroCommissioningDate,,,date,4
,Implementer Name,Name of implementer responsible for execution of Energy Efficiency Measure.,ImplementerName,,,string,4
,Implementer Qualification,Qualification of implementer responsible for execution of Energy Efficiency Measure.,QualificationOfImplementerEnum,,PE; CEM; BPI-BA; RESNET-Home Partner; RA; Refrigerating System Operating Engineer; High Pressure Boiler Operating Engineer; Other; Unknown,ENUM,4
,Implementer Qualification Number,"Certificate number, license number, etc., of Implementer Qualification.",ImplementerQualificationNumber,,,string,4
,Implementer Qualification State,The state in which the site is located.,StateEnum,,AL; AK; AZ; AR; CA; CO; CT; DE; FL; GA; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MA; MI; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NY; NC; ND; OH; OK; OR; PA; RIL; SC; SD; TN; TX; UT; VT; VA; WA; WV; WI; WY,,1
,Implementer Team Member With Certification,"Name of the implementing team member with certification specified in ""Implementer Team Member Certification Type"".",ImplementerTeamMemberwithCertification,,,,4
,Implementer Team Member Certification Type,Qualification of implementer responsible for execution of Energy Efficiency Measure.,CertificationOfImplementerEnum,,Certified Commissioning Pro (CMP); Certified Building Commissioning Pro (CBCP); Existing Building Commissioning Pro (EBCP); Commissioning Process Management Pro (CPMP); Accredited Commissioning Process Authority Pro (ACPAP); Other; Unknown,ENUM,4
,Implementer Company,Company or organization the implementer represents.,ImplementerCompany,,,string,4
,Implementer Company Address,Address of implementer.,ImplementerCompanyAddress,,,string,4
,Implementer Company Phone Number,Phone number of implementer.,ImplementerCompanyPhoneNumber,,,string,4
,Name Of Retro-commissioning Certification Holder,Name of designated retro-commissioning certification holder.,NameOfRetrocommissioningCertificationHolder,,,string,4
,Audit ID,ID code for this Audit.,AuditID,,,string,4
,Measure ID,ID code for this Measure.,MeasureID,,,string,4
,Notes,Facility level details about the building in Portfolio Manager.,Notes,,,string,4
EnergyUse,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
,Fuel,Type of fuel consumed.,FuelEnum,,Electricity; Electricity (Renewable); Natural Gas; Natural Gas (Renewable); Fuel Oil; Fuel Oil No.1; Fuel Oil No.2; Fuel Oil No.4; Fuel Oil No.5 and No.6; District Steam; District hot water; District chilled water ; Solar hot water; Bottled gas (LPG or propane); Propane; Liquid Propane; Kerosene; Diesel; Coal; Coal (anthracite); Coal (bituminous); Coke; Wood; Other Or Combination,ENUM,1
,Complete Fuel,True if this Energy Use record covers total consumption of this fuel type in this facility; false otherwise.,CompleteFuel,,,,1
,End Use Type,End use that this Energy Use primarily applies to.,EndUseTypeEnum,,Whole Building; Lighting - Uncategorized; Lighting - Interior; Lighting - Exterior; Heating; Cooling; Ventilation; Pump; IT; Plug; Process; Conveyance; Domestic Hot Water; Refrigeration; Cooking; Dishwasher; Laundry; Pool Heating; On-site Generation; Owner Paid Electricity Use; Other Or Combination; Unknown,ENUM,1
,Complete End Use,True if this Energy Use covers total consumption of this end use; false otherwise.,CompleteEndUse,,,,2
,Units,Units for energy use.,EnergyUnitsEnum,,kWh (thousand Watt-hours); therms; Gallons; KLbs. (thousand pounds); kcf (thousand cubic feet); ccf (hundred cubic feet); cf (cubic feet); MBtu (million Btu); Tons; Lbs. (pounds); kBtu (thousand Btu); Ton Hours; MLbs. (million pounds); MWh (million Watt-hours); MCF (million cubic feet); Cubic Meters; Wh (Watt-hours); kWh (thousand Watt-hours); MWh (million Watt-hours); Btu (British thermal units); kBtu (thousand Btu); MBtu (million Btu); therms; Other Or No Units; Unknown,ENUM,1
,Interval Type,Indicates whether the reading is meant to be representative of a specific time interval.,IntervalTypeEnum,,15-minute; Hourly; Daily; Monthly; Annual; Other; Unknown,ENUM,1
,Reading Time Zone Code,The 3 letter code for the time zone where the reading was taken.,ReadingTimeZoneCode,,,string,2
,Reading Type,Charactarization of reading value.,ReadingTypeEnum,,Point; Median; Average; Total; Estimate; Other; Unknown,ENUM,2
,Summer Peak,Peak demand in the summer.,SummerPeak,,,double,2
,Winter Peak,Peak demand in the winter.,WinterPeak,,,double,2
,Rate Structure,Rate structure type for utility billing.,RateStructure,,,string,3
,Metering Configuration,"Configuration of metering with respect to tenants, if applicable.",MeteringConfigurationEnum,,Direct metering (Tenants directly metered); Master meter without sub-metering (Tenants not directly metered or sub-metered); Master meter with sub-metering (Tenants sub-metered by building owner); Other Or Combination; Unknown,ENUM,3
,Emissions Factor,Emissions factor associated with this fuel according to EPA. [kg Co2e/Mbtu],EmissionsFactor,,,double,3
,Fuel Interruptibility,This refers to the practice of supplementing fuel by other means when there are interruptions in supply from the utility.,FuelInterruptibilityEnum,,Interruptible; Firm; Other; Unknown,ENUM,3
,Shared Energy System,"Situation that applies if this energy system is shared with multiple buildings on a site, such as shared chilled water.",SharedEnergySystemEnum,,Shared energy systems or meters for multiple building on a single lot; Shared energy systems or meter for multiple buildings on multiple lots; Energy system or meter not shared; Other Or Combination; Unknown,ENUM,3
,Identifier,Name or identifier of the Energy Use e.g. fuel type or meter number.,Identifier,,,string,4
,Energy Use Metric Type,Type of calculated energy use metric.,EnergyUseMetricTypeEnum,,Portfolio Manager Energy Performance Rating; Whole Building Energy Use Intensity (Source); Whole Building Energy Use Intensity (Source- Weather Normalized); Whole Building Energy Use Intensity (Site); Green House Gas Emissions (CO2e) ; Baseline Data Center Source PUE; Baseline PUE-PDU Input; Baseline PUE-UPS Output; Baseline Site IT Equipment Input Energy (kWh); Baseline Site PDU Input Energy (kWh); Baseline Site PDU Output Energy (kWh); Baseline Site UPS Output Energy (kWh); Baseline Source IT Energy (kBtu); Current Data Center Source PUE; Current PUE-PDU Input; Current PUE-UPS Output; Current Site IT Equipment Input Energy (kWh); Current Site PDU Input Energy (kWh); Current Site PDU Output Energy (kWh); Current Site UPS Output Energy (kWh); Current Source IT Energy (kBtu); National Average PUE; Baseline Direct GHG Emissions (MtCO2e); Baseline Indirect GHG Emissions (MtCO2e); Baseline Total GHG Emissions (MtCO2e); Change from Baseline: GHG Emissions (MtCO2e); Current Direct GHG Emissions (MtCO2e); Current Indirect GHG Emissions (MtCO2e); Current Total GHG Emissions (MtCO2e); Baseline Energy Period Ending Date; Current Energy Period Ending Date; Baseline Water Period Ending Date; Current Water Period Ending Date; Baseline Total On-Site Renewable Electric Use (kWh); Current Total On-Site Renewable Electric Use (kWh); Percent of Electricity from On-Site Renewable (%); Total Avoided GHG Emissions from Green Power (MtCO2e); Total Green Power Purchased (MWh); Total Renewable Energy Sold to Grid (kWh); Total Revenue From Energy Sold to the Grid (USD $); Baseline Site Energy Intensity (kBtu/sq.ft); Baseline Total Site Energy Use   (kBtu); Current Total Site Energy Use (kBtu); National Median Site EUI (kBtu/sq.ft); Target Site Energy Intensity (kBtu/sq.ft); Weather Normalized Site EUI (kBtu/sq.ft); % Difference from National Median Site Energy per Square Foot (%); Baseline Site Electric Use (kWh); Baseline Site Natural Gas Use (therms); % Difference from National Median Source Energy per Square Foot (%); Baseline Source Energy Intensity (kBtu/sq.ft); Baseline Weather Normalized Source; Energy Intensity (kBtu/sq.ft); National Median Source EUI (kBtu/sq.ft); Baseline Total Source Energy Use   (kBtu); Current Total Source Energy Use (kBtu); Data Center - IT Energy Configuration; Data Center - PDU Input Energy (kWh); Data Center - UPS Output Energy (kWh); Data Center - UPS Capacity (kW),ENUM,4
,Water Use Metric Type,Type of annual water use metric.,WaterUseMetricTypeEnum,,Indoor Water Cost (US $); Indoor Water Use (kGal); Indoor Water Use Intensity (Gal/sq.ft.); Other Water Cost (US $); Other Water Use (kGal); Outdoor Water Cost (US $); Outdoor Water Use (kGal); Total Indoor and Outdoor Water Cost (US $); Total Indoor and Outdoor Water Use (kGal); Wastewater/Sewer Cost (US $); Wastewater/Sewer Use (kGal),ENUM,4
,Utility,Name of utility company billing this Energy Use.,Utility,,,string,4
,Power Plant,Portfolio Manager field.,PowerPlant,,,string,4
,Energy Use Alerts,Portfolio Manger generated alerts relating to energy use.,EnergyUseAlerts,,,string,4
,Water Use Alerts,All alerts for this facility that are related to water use.,WaterUseAlerts,,,string,4
,Time Series,,TimeSeries,,,Entity,5
,Add to Total Energy Use,True if this energy use should be added to the total energy use of the facility; false otherwise. E.g. A tenant sub-meter would not be added to total if the master meter already includes tenant energy use.,AddToTotalEnergyUse,,,boolean,1
TimeSeries,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
,Start Time Stamp,The timestamp that marks the beginning of the time step.,StartTimeStamp,,,date,1
,End Time Stamp,The timestamp that marks the end of the time step.,EndTimeStamp,,,date,1
,Reading,The numerical value of the reading.,Reading,,,double,1
,Interval Peak,Maximum value in this interval.,IntervalPeak,,,double,2
,Interval Minimum,Minimum value in this interval.,IntervalMinimum,,,double,2
,Percent of Total,Percent of total energy for this period .[%],PercentOfTotal,,,double,3
,Green House Gas Emissions,Total green house gas emissions resulting from this period of energy use.,GreenHouseGasEmissions,,,double,3
